epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8429,2.34445,4.54141,2.07205,0.68608,0.29246,0.34589,0.19285,2.14333,3.80041,2.0106,0.000367247,0.000367247,0.000367247
2,44.0695,1.9284,2.89616,1.73233,0.92432,0.33476,0.34316,0.19213,2.35965,2.60307,2.13527,0.000722976,0.000722976,0.000722976
3,65.2332,1.74921,2.26768,1.6647,0.67592,0.46554,0.4477,0.22493,2.03615,2.16652,2.16601,0.00106404,0.00106404,0.00106404
4,86.2306,1.69814,1.91809,1.62418,0.81014,0.50847,0.4946,0.26656,1.95087,1.9837,1.87157,0.00104501,0.00104501,0.00104501
